Table Name：Custom_SinglePopulation
Title：Population by single age 
Update Date：2025.06.17
Download Date：2025.09.03 07:29
Search Year：2024~2024
Source：National Development Council
Population Projections for the R.O.C (Taiwan)
Table URL：https://pop-proj.ndc.gov.tw/main_en/Custom_Detail_Statistics_Search.aspx?n=175&_Query=258170a1-1394-49fe-8d21-dc80562b72fb&amp;amp;page=1&amp;amp;PageSize=10&amp;amp;ToggleType=

,,,2024
Variant,Gender,Age,Data value (persons)
Medium,Total,'15,195109
Medium,Total,'16,199038
Medium,Total,'17,205852
Medium,Total,'18,206711
Medium,Total,'19,208047
Medium,Total,'20,217961
Medium,Total,'21,226634
Medium,Total,'22,245310
Medium,Total,'23,255885
Medium,Total,'24,304530
Medium,Total,'25,281311
Medium,Total,'26,265783
Medium,Total,'27,321047
Medium,Total,'28,319985
Medium,Total,'29,321837
Medium,Total,'30,319565
Medium,Total,'31,323315
Medium,Total,'32,316897
Medium,Total,'33,315263
Medium,Total,'34,331477
Medium,Total,'35,307578
Medium,Total,'36,338049
Medium,Total,'37,307384
Medium,Total,'38,300854
Medium,Total,'39,339172
Medium,Total,'40,365887
Medium,Total,'41,378160
Medium,Total,'42,399821
Medium,Total,'43,409347
Medium,Total,'44,403748
Medium,Total,'45,411873
Medium,Total,'46,399641
Medium,Total,'47,378934
Medium,Total,'48,410430
Medium,Total,'49,354025
Medium,Total,'50,347059
Medium,Total,'51,344790
Medium,Total,'52,343160
Medium,Total,'53,351795
Medium,Total,'54,359909
Medium,Total,'55,359410
Medium,Total,'56,357114
Medium,Total,'57,338213
Medium,Total,'58,360673
Medium,Total,'59,355047
Medium,Total,'60,359071
Medium,Total,'61,362888
Medium,Total,'62,354999
Medium,Total,'63,347000
Medium,Total,'64,341539


"● The data before 1971 does not include Kinmen County and Lienchiang County."
"● The data from 2025 onwards is projected."
"● The data for the highest age represents the total for that age and above. Due to adjustments made to the statistical classification of the highest age in 1971, 1975, and 1992, the "Change from previous year" and "Change in percent from previous year" for these connection points are not calculated.
